;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CATALOGO DE LIBROS DE LA FISI;;;;;;;;;;;;;;;;;;;;;;;;
;Nº;TITULO;AUTOR;CLASIFICACION;AÑO;;;;;;;;;;;;;;;;;;;;;
;1;"LOGICA MATEMATICA 
un enfoque axiomatico";Augusto Cortez Vasquez;BC135.C78;1998;;;;;;;;;;;;;;;;;;;;;
;2;"LOGICA MATEMATICA 
un enfoque axiomatico";Augusto Cortez Vasquez;BC135.C78 ej. 2;1998;;;;;;;;;;;;;;;;;;;;;
;3;"LOGICA MATEMATICA 
un enfoque axiomatico";Augusto Cortez Vasquez;BC135.C78 ej. 3;1998;;;;;;;;;;;;;;;;;;;;;
;4;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88;2014;;;;;;;;;;;;;;;;;;;;;
;5;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 10;2014;;;;;;;;;;;;;;;;;;;;;
;6;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 11;2014;;;;;;;;;;;;;;;;;;;;;
;7;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;8;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;9;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;10;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;11;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 6;2014;;;;;;;;;;;;;;;;;;;;;
;12;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 7;2014;;;;;;;;;;;;;;;;;;;;;
;13;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 8;2014;;;;;;;;;;;;;;;;;;;;;
;14;Tratado de PSICOLOGIA REVOLUCIONARIA;Samuel Aun Weor;BF176.A88 ej. 9;2014;;;;;;;;;;;;;;;;;;;;;
;15;"LOS RUMBOS DE LA MENTE
 ensayos sobre el yo, lo mental natural y la inteligencia artificial";Juan Manuel Cuartas Restrepo;BF176.C93 ;2007;;;;;;;;;;;;;;;;;;;;;
;16;Introduccion al Pensamiento Sistematico;Juan Carlos Osorio Gomez;G129.081;2007;;;;;;;;;;;;;;;;;;;;;
;17;The Black Art OF MULTIPLATFORM Game Programming;Jazon Yamamoto;GV1469.2.Y11;2015;;;;;;;;;;;;;;;;;;;;;
;18;Teoria General de Sistemas;John P. Van Gigch;H61.V28;2011;;;;;;;;;;;;;;;;;;;;;
;19;ESTADISTICA con SPSS 22;Lic. Nel Quezada Lucio;HA32.Q39;2014;;;;;;;;;;;;;;;;;;;;;
;20;"Elementos basicos de economia Teoría económica, 
Micro y macroeconomia";Abel Arce Carrasco;HB171.5.A82;2006;;;;;;;;;;;;;;;;;;;;;
;21;Fundamentos de Economia;Paul Krugman;HB171.5.K58;2010;;;;;;;;;;;;;;;;;;;;;
;22;Principios de Economia;N. Gregory Mankiw;HB171.5.M22;2012;;;;;;;;;;;;;;;;;;;;;
;23;Economia;Michael Parkin;HB171.5.M22;2014;;;;;;;;;;;;;;;;;;;;;
;24;Principios de Economia;N. Gregory Mankiw;HB171.5.M22 ;2017;;;;;;;;;;;;;;;;;;;;;
;25;Principios de Economia;N. Gregory Mankiw;HB171.5.M22 ej. 2;2012 ;;;;;;;;;;;;;;;;;;;;;
;26;Principios de Economia;N. Gregory Mankiw;HB171.5.M22 ej. 2;2017;;;;;;;;;;;;;;;;;;;;;
;27;Economia;Michael Parkin;HB171.5.M22 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;28;Principios de Economia;N. Gregory Mankiw;HB171.5.M22 ej. 3;2017 ;;;;;;;;;;;;;;;;;;;;;
;29;Economia;Michael Parkin;HB171.5.M22 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;30;Principios de Economia;N. Gregory Mankiw;HB171.5.M22 ej. 4;2017 ;;;;;;;;;;;;;;;;;;;;;
;31;Economia;Michael Parkin;HB171.5.M22 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;32;Principios de Economia;N. Gregory Mankiw;HB171.5.M22 ej. 5;2017;;;;;;;;;;;;;;;;;;;;;
;33;Economia;Michael Parkin;HB171.5.M22 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;34;Macroeconomia Version para America Latina;N. Gregory Mankiw;HB171.5.M22M;2015;;;;;;;;;;;;;;;;;;;;;
;35;Macroeconomia Version para America Latina;N. Gregory Mankiw;HB171.5.M22M ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;36;Macroeconomia Version para America Latina;N. Gregory Mankiw;HB171.5.M22M ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;37;Macroeconomia Version para America Latina;N. Gregory Mankiw;HB171.5.M22M ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;38;Macroeconomia Version para America Latina;N. Gregory Mankiw;HB171.5.M22M ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;40;Introduccion a la Economia ;"Michael Parkin, Melanie Powell,
 Kent Matthews";HB171.5.P26;2013;;;;;;;;;;;;;;;;;;;;;
;41;Introduccion a la Economia ;"Michael Parkin, Melanie Powell,
 Kent Matthews";HB171.5.P27 ej. 2;2013;;;;;;;;;;;;;;;;;;;;;
;42;Introduccion a la Economia ;"Michael Parkin, Melanie Powell,
 Kent Matthews";HB171.5.P27 ej. 3;2013;;;;;;;;;;;;;;;;;;;;;
;43;Introduccion a la Economia ;"Michael Parkin, Melanie Powell,
 Kent Matthews";HB171.5.P27 ej. 4;2013;;;;;;;;;;;;;;;;;;;;;
;44;Introduccion a la Economia ;"Michael Parkin, Melanie Powell,
 Kent Matthews";HB171.5.P27 ej. 5;2013;;;;;;;;;;;;;;;;;;;;;
;45;Contabilidad general Teoria y practica Teoria y practica;"Lazaro Rodriguez Ariza,
 Maria Victoria Lopez Perez";HB171.5.R74;2009;;;;;;;;;;;;;;;;;;;;;
;46;Contabilidad general Teoria y practica Teoria y practica;"Lazaro Rodriguez Ariza,
 Maria Victoria Lopez Perez";HB171.5.R74;2011;;;;;;;;;;;;;;;;;;;;;
;47;Contabilidad general Teoria y practica Teoria y practica;"Lazaro Rodriguez Ariza,
 Maria Victoria Lopez Perez";HB171.5.R74 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;48;Contabilidad general Teoria y practica Teoria y practica;"Lazaro Rodriguez Ariza,
 Maria Victoria Lopez Perez";HB171.5.R74 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;49;ECONOMIA 19ed con Aplicaciones a Latinoamerica;Paul A. Samuelson, William D. Nordhaus;HB171.5.S82;2010;;;;;;;;;;;;;;;;;;;;;
;50;"Globalizacion y Desarrollo Local
 una perspectiva valenciana.";Jose Honrubia Lopez;HC79.H73;2004;;;;;;;;;;;;;;;;;;;;;
;51;SMART Internet(s): la investigacion;Frederic Martel;HC79.M26;2015;;;;;;;;;;;;;;;;;;;;;
;52;"GESTION Y CONOCIMIENTO
 en Organizaciones que aprenden.";Ernesto Gore, Ceferi Soler;HD30.2.G37;2006;;;;;;;;;;;;;;;;;;;;;
;53;"Sistemas de informacion Introducción
 a la Informática en las Organizaciones";Paul Beynon - Davies;HD30.213.B49;2014;;;;;;;;;;;;;;;;;;;;;
;54;"Sistemas de informacion Introducción
 a la Informática en las Organizaciones";Paul Beynon - Davies;HD30.213.B49 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;55;"Sistemas de informacion Introducción
 a la Informática en las Organizaciones";Paul Beynon - Davies;HD30.213.B49 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;56;"Sistemas de informacion Introducción
 a la Informática en las Organizaciones";Paul Beynon - Davies;HD30.213.B49 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;57;"Sistemas de informacion Introducción
 a la Informática en las Organizaciones";Paul Beynon - Davies;HD30.213.B49 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;58;"Sistemas de informacion Introducción 
a la Informática en las Organizaciones";Paul Beynon - Davies;HD30.213.B49 ej. 6;2014;;;;;;;;;;;;;;;;;;;;;
;59;Conceptos de Administración estrategica;Fred R. David;HD30.28.D31;2013;;;;;;;;;;;;;;;;;;;;;
;60;Conceptos de Administración estrategica;Fred R. David;HD30.28.D31 ej. 2;2013;;;;;;;;;;;;;;;;;;;;;
;61;Conceptos de Administración estrategica;Fred R. David;HD30.28.D31 ej. 3;2013;;;;;;;;;;;;;;;;;;;;;
;62;Conceptos de Administración estrategica;Fred R. David;HD30.28.D31 ej. 4;2013;;;;;;;;;;;;;;;;;;;;;
;63;Conceptos de Administración estrategica;Fred R. David;HD30.28.D31 ej. 5;2013;;;;;;;;;;;;;;;;;;;;;
;64;Administracion estrategica Un enfoque integrado;Charles W. Hill;HD30.28.H54;2005;;;;;;;;;;;;;;;;;;;;;
;65;"Administración Estratégica Competitividad
 y Conceptos de Globalización";Michael A. Hitt;HD30.28.H59;2004;;;;;;;;;;;;;;;;;;;;;
;66;Administración Estratégica;Garth Saloner;HD30.28.S17;2011;;;;;;;;;;;;;;;;;;;;;
;67;Administración Estratégica;Garth Saloner;HD30.28.S17 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;68;Administración Estratégica;Garth Saloner;HD30.28.S17 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;69;Administración Estratégica;Garth Saloner;HD30.28.S17 ej. 4;2011;;;;;;;;;;;;;;;;;;;;;
;70;Administracion de los sistemas de informacion;Kenneth J. Sousa;HD30.28.S72;2017;;;;;;;;;;;;;;;;;;;;;
;71;Administracion de los sistemas de informacion;Kenneth J. Sousa;HD30.28.S72 ej. 2;2017;;;;;;;;;;;;;;;;;;;;;
;72;Administracion de los sistemas de informacion;Kenneth J. Sousa;HD30.28.S72 ej. 3;2017;;;;;;;;;;;;;;;;;;;;;
;73;Administracion de los sistemas de informacion;Kenneth J. Sousa;HD30.28.S72 ej. 4;2017;;;;;;;;;;;;;;;;;;;;;
;74;Administracion de los sistemas de informacion;Kenneth J. Sousa;HD30.28.S72 ej. 5;2017;;;;;;;;;;;;;;;;;;;;;
;75;Metodología de la Investigacion;César Augusto Bernal;HD30.4.B45;2006;;;;;;;;;;;;;;;;;;;;;
;76;"Metodología de la investigación
 científica y asesoramiento de tesis";Humberto Ñaupas Paitán;HD30.4.Ñ44;2011;;;;;;;;;;;;;;;;;;;;;
;77;"Metodología de la investigación
 científica y asesoramiento de tesis";Humberto Ñaupas Paitán;HD30.4.Ñ44 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;78;"Las reglas no escritas para triunfar
 en la empresa Informatica profesional";Roberto Canales Mora;HD31.C25;2012;;;;;;;;;;;;;;;;;;;;;
;79;"Las reglas no escritas para triunfar
 en la empresa Informatica profesional";Roberto Canales Mora;HD31.C25 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;80;"Las reglas no escritas para triunfar
 en la empresa Informatica profesional";Roberto Canales Mora;HD31.C25 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;81;"Las reglas no escritas para triunfar
 en la empresa Informatica profesional";Roberto Canales Mora;HD31.C25 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;82;"Las reglas no escritas para triunfar
 en la empresa Informatica profesional";Roberto Canales Mora;HD31.C25 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;83;Teoría y diseño organizacional;Richard l. daft;HD31.D14;2005;;;;;;;;;;;;;;;;;;;;;
;84;Administracion;Richard l. daft;HD31.D14A;2004;;;;;;;;;;;;;;;;;;;;;
;85;Administracion;Richard l. daft;HD31.D14A ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;86;Administracion;Richard l. daft;HD31.D14A ej. 3;2004;;;;;;;;;;;;;;;;;;;;;
;87;Administracion;Luís R. Gómez-Mejía;HD31.G63;2003;;;;;;;;;;;;;;;;;;;;;
;88;Teoria de la organizacion Un enfoque estrategico;B. J. Hodge;HD31.H64;2003;;;;;;;;;;;;;;;;;;;;;
;89;Teoria de la organizacion Un enfoque estrategico;B. J. Hodge;HD31.H64 ej. 2;2003;;;;;;;;;;;;;;;;;;;;;
;90;Teoria de la organizacion Un enfoque estrategico;B. J. Hodge;HD31.H64 ej. 3;2003;;;;;;;;;;;;;;;;;;;;;
;91;ADMINISTRACION Una perspectiva global;Harold Koontz, Heinz Weihrich;HD31.K74;2004;;;;;;;;;;;;;;;;;;;;;
;92;Administracion Una prespectiva global y empresarila;Harold Koontz;HD31.K74;2008;;;;;;;;;;;;;;;;;;;;;
;93;Administracion Una prespectiva global y empresarial;Harold Koontz;HD31.K74;2012;;;;;;;;;;;;;;;;;;;;;
;94;Administración Una prespectiva global y empresarial;Harold Koontz;HD31.K74 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;95;Administración Una prespectiva global y empresarial;Harold Koontz;HD31.K74 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;96;Administración Una prespectiva global y empresarial;Harold Koontz;HD31.K74 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;97;Administración Una prespectiva global y empresarial;Harold Koontz;HD31.K74 ej. 5 ;2012;;;;;;;;;;;;;;;;;;;;;
;98;"Administracion Enfoque por competencias 
con casos latinoamericanos";Francisco Mochón Morcillo;HD31.M67;2014;;;;;;;;;;;;;;;;;;;;;
;99;"Administracion Enfoque por competencias 
con casos latinoamericanos";Francisco Mochón Morcillo;HD31.M67 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;100;"Administracion Enfoque por competencias 
con casos latinoamericanos";Francisco Mochón Morcillo;HD31.M67 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;101;"Administracion Enfoque por competencias
 con casos latinoamericanos";Francisco Mochón Morcillo;HD31.M67 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;102;Administracion Enfoque por competencias con casos latinoamericanos;Francisco Mochón Morcillo;HD31.M67 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;103;Administracion ;Robbins Stephen P, Mary Coulter;HD31.R71;2005;;;;;;;;;;;;;;;;;;;;;
;104;Administracion;Stephen P. Robbins;HD31.R71;2014;;;;;;;;;;;;;;;;;;;;;
;105;Administracion;Stephen P. Robbins;HD31.R71 ;2010;;;;;;;;;;;;;;;;;;;;;
;106;Administracion;Stephen P. Robbins;HD31.R71 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;107;Administracion;Stephen P. Robbins;HD31.R71 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;108;Administracion;Stephen P. Robbins;HD31.R71 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;109;Administracion;Stephen P. Robbins;HD31.R71 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;110;Administracion;Stephen P. Robbins;HD31.R71 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;111;Organización basada en procesos;Jorge Macazaga;HD37.E8.M12;2007;;;;;;;;;;;;;;;;;;;;;
;112;Organización basada en procesos;Jorge Macazaga;HD37.E8.M12 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;113;Organización basada en procesos;Jorge Macazaga;HD37.E8.M12 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;114;Organización basada en procesos;Jorge Macazaga;HD37.E8.M12 ej. 4;2007;;;;;;;;;;;;;;;;;;;;;
;115;Organización basada en procesos;Jorge Macazaga;HD37.E8.M12 ej. 5;2007;;;;;;;;;;;;;;;;;;;;;
;116;Organización basada en procesos;Jorge Macazaga;HD37.E8.M12 ej. 6;2007;;;;;;;;;;;;;;;;;;;;;
;117;Organización basada en procesos;Jorge Macazaga;HD37.E8.M12 ej. 7;2007;;;;;;;;;;;;;;;;;;;;;
;118;Organización basada en procesos;Jorge Macazaga;HD37.E8.M12 ej. 8;2007;;;;;;;;;;;;;;;;;;;;;
;119;"Administracion de conocimiento y desarrollo 
basado en conocimiento Redes e innovación";América Martínez Sánchez;HD37.S66.M26;2011;;;;;;;;;;;;;;;;;;;;;
;120;"Administracion de conocimiento y desarrollo 
basado en conocimiento Redes e innovación";América Martínez Sánchez;HD37.S66.M26 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;121;"Ventaja Competitiva Creacion y sostenimiento de un 
desempeño superior";Michael E. Porter;HD41.P78;2002;;;;;;;;;;;;;;;;;;;;;
;122;"Aprendizajes para la autogestion territorial mapuche
 Experiencias de cinco organizaciones territoriales indigenas";Comunidad Felipe Punolef;HD510.C66.A64;2005;;;;;;;;;;;;;;;;;;;;;
;123;"Aprendizajes para la autogestion territorial mapuche
 Experiencias de cinco organizaciones territoriales indigenas";Comunidad Felipe Punolef;HD510.C66.A64 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;124;"Liderazgo Emprendedor Como se un emprendedor
 de exito y no morir en el intento";Alejandro E. Lerma Kirchner;HD57.7.L61;2007;;;;;;;;;;;;;;;;;;;;;
;125;Liderazgo en las organizaciones;Gary Yukl;HD57.7.Y91;2008;;;;;;;;;;;;;;;;;;;;;
;126;Insercion del el mercado laboral del egresado sanmarquino;Oficina Tecnica del Estudiante;HD5761.A6.159;2009;;;;;;;;;;;;;;;;;;;;;
;127;Comportamiento organizacional;Stephen P. Robbins;HD58.7.R71;2013;;;;;;;;;;;;;;;;;;;;;
;128;Innovación y gestión del conocimiento;Roberto Carballo;HD58.8.C29;2006;;;;;;;;;;;;;;;;;;;;;
;129;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;HD69.58.V39;2000;;;;;;;;;;;;;;;;;;;;;
;130;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;HD69.58.V39;2000;;;;;;;;;;;;;;;;;;;;;
;131;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;HD69.58.V39;2000;;;;;;;;;;;;;;;;;;;;;
;132;Alianzas Estrategicas En un mercado globalizado;Hugo Vega;HD69.58.V39;2000;;;;;;;;;;;;;;;;;;;;;
;133;Formulacion y evaluacion de proyectos informaticos;Gabriel Baca Urbina;HD69.P75.B12;2006;;;;;;;;;;;;;;;;;;;;;
;134;Formulacion y evaluacion de proyectos informaticos;Gabriel Baca Urbina;HD69.P75.B12 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;135;Gestion de proyectos con Microsoft Project 2010;Antonio Colmenar;HD69.P75.C75;2010;;;;;;;;;;;;;;;;;;;;;
